951,Barra do Ouro (Maquiné)
952,Barra do Piraí
953,Barra do Pojuca (Camaçari)
954,Barra do Quaraí
955,Barra do Riachão (São Joaquim do Monte)
956,Barra do Ribeiro
957,Barra do Rio Azul
958,Barra do Rocha
959,Barra dos Coqueiros
960,Barra do Sirinhaém (Sirinhaém)
961,Barra do Sotero (Croatá)
962,Barra do Tarrachil (Chorrochó)
963,Barra do Turvo
964,Barra Dourada (Neves Paulista)
965,Barra Feliz (Santa Bárbara)
966,Barra (Fortim)
967,Barra Fria (Erval Velho)
968,Barra Funda
969,Barragem do Itu (Manoel Viana)
970,Barra Grande (Faxinal dos Guedes)
971,Barra Grande (Itapejara d'Oeste)
972,Barra Grande (Maragogi)
973,Barra Grande (Planalto)
974,Barra Grande (Ponta Grossa)
975,Barra Grande (Vera Cruz)
976,Barra (Iguatu)
977,Barra Longa
978,Barra Mansa
979,Barranco Alto (Alfenas)
980,Barrânia (Caconde)
981,Barra Nova (Redenção)
982,Barra Nova (Tauá)
983,Barras
984,Barra Santa Salete (Manoel Ribas)
985,Barra Seca (Jaguaré)
986,Barra Velha
987,Barreira
988,Barreira Branca (Santa Maria das Barreiras)
989,Barreira dos Campos (Santana do Araguaia)
990,Barreira dos Vianas (Aracati)
991,Barreiras
992,Barreiras (Coruripe)
993,Barreiras do Piauí
994,Barreiras (Iguatu)
995,Barreiras (Itaituba)
996,Barreirinha
997,Barreirinhas
998,Barreirinho (Sarandi)
999,Barreiro Branco (Catuti)
1000,Barreiro (Cascavel)
1001,Barreiro da Raiz (Janaúba)
1002,Barreiro do Rio Verde (Janaúba)
1003,Barreiro (Guarapuava)
1004,Barreiro (Ijuí)
1005,Barreiro (Ortigueira)
1006,Barreiros
1007,Barreiros (Apucarana)
1008,Barreiros (Monsenhor Tabosa)
1009,Barreiros (Potengi)
1010,Barreiros (Riachão do Jacuípe)
1011,Barreiros (São Benedito)
1012,Barrento (Itapipoca)
1013,Barretos
1014,Barretos de Alvinópolis (Alvinópolis)
1015,Barrinha
1016,Barrinha (Castro)
1017,Barrinha (Seberi)
1018,Barrinha (Três de Maio)
1019,Barro
1020,Barro Alto
1021,Barro Alto
1022,Barro Alto (Iguatu)
1023,Barro Branco (Lauro Müller)
1024,Barrocão (Grão Mogol)
1025,Barrocão (Ribeira do Pombal)
1026,Barrocas
1027,Barro Duro
1028,Barro Duro (Tutóia)
1029,Barrolândia
1030,Barro Preto
1031,Barro Preto (Ajuricaba)
1032,Barro Preto (Cascavel)
1033,Barro Preto (Londrina)
1034,Barro Preto (São José dos Pinhais)
1035,Barroquinha
1036,Barros Cassal
1037,Barroso
1038,Barro Vermelho (Cachoeira do Sul)
1039,Barro Vermelho (Curaçá)
1040,Barro Vermelho (Gravataí)
1041,Barro Vermelho (Junqueiro)
1042,Barueri
1043,Basílio (Herval)
1044,Bastião (Boninal)
1045,Bastos
1046,Bataguassu
1047,Batalha
1048,Batalha
1049,Batatais
1050,Batatal (Itaocara)
1051,Batateira (Belém de Maria)
1052,Batatuba (Piracaia)
1053,Batayporã
1054,Bateias (Campo Largo)
1055,Bateias de Baixo (Campo Alegre)
1056,Bate Pé (Vitória da Conquista)
1057,Batinga (Itanhém)
1058,Batingas (Arapiraca)
1059,Batista Botelho (Óleo)
1060,Batovira (Progresso)
1061,Batovi (Tesouro)
1062,Baturité
1063,Baturité (Afuá)
1064,Baú (Candiota)
1065,Baú (Estrela do Indaiá)
1066,Baú (Guaiúba)
1067,Baú (Iguatu)
1068,Baulândia (Renascença)
1069,Bauru
